"HOUR_OF_DAY","DAY_OF_WEEK","sum_count"
"00","Weekday",31.8
"01","Weekday",32.4
"02","Weekday",26.8
"03","Weekday",16
"04","Weekday",21
"05","Weekday",25.2
"06","Weekday",40.4
"07","Weekday",59.6
"08","Weekday",57.4
"09","Weekday",50
"10","Weekday",43.4
"11","Weekday",60
"12","Weekday",74.2
"13","Weekday",73.8
"14","Weekday",79.6
"15","Weekday",103.2
"16","Weekday",96
"17","Weekday",102.8
"18","Weekday",86.8
"19","Weekday",70.2
"20","Weekday",57.2
"21","Weekday",52.6
"22","Weekday",45.2
"23","Weekday",41.8
"00","Weekend",40
"01","Weekend",45.5
"02","Weekend",39
"03","Weekend",34.5
"04","Weekend",23
"05","Weekend",29.5
"06","Weekend",43
"07","Weekend",57
"08","Weekend",52.5
"09","Weekend",46.5
"10","Weekend",61.5
"11","Weekend",71.5
"12","Weekend",86.5
"13","Weekend",91.5
"14","Weekend",97
"15","Weekend",103.5
"16","Weekend",97
"17","Weekend",103
"18","Weekend",90.5
"19","Weekend",80
"20","Weekend",57.5
"21","Weekend",58.5
"22","Weekend",70.5
"23","Weekend",53
