"MAX_SEVERITY_LEVEL","ratio","type"
"Injury/Unknown Severity",0.100294158845777,"Automobile"
"Killed",0.00420226922538171,"Automobile"
"Not injured",0.570808236447682,"Automobile"
"Possible Injury",0.0686370640145679,"Automobile"
"Suspected Minor injury",0.178176215156184,"Automobile"
"Suspected Serious injury",0.0250735397114442,"Automobile"
"Unknown if injured",0.0528085165989634,"Automobile"
"Injury/Unknown Severity",0.190283400809717,"Motorcycle"
"Killed",0.0526315789473684,"Motorcycle"
"Not injured",0.0688259109311741,"Motorcycle"
"Possible Injury",0.0688259109311741,"Motorcycle"
"Suspected Minor injury",0.331983805668016,"Motorcycle"
"Suspected Serious injury",0.267206477732794,"Motorcycle"
"Unknown if injured",0.0202429149797571,"Motorcycle"
"Injury/Unknown Severity",0.0714285714285714,"Bus"
"Killed",0.0571428571428571,"Bus"
"Not injured",0.5,"Bus"
"Possible Injury",0.114285714285714,"Bus"
"Suspected Minor injury",0.214285714285714,"Bus"
"Suspected Serious injury",0.0285714285714286,"Bus"
"Unknown if injured",0.0142857142857143,"Bus"
"Injury/Unknown Severity",0.112394149345651,"Small Truck"
"Killed",0.00615858352578907,"Small Truck"
"Not injured",0.554272517321016,"Small Truck"
"Possible Injury",0.0531177829099307,"Small Truck"
"Suspected Minor injury",0.200153964588145,"Small Truck"
"Suspected Serious injury",0.0392609699769053,"Small Truck"
"Unknown if injured",0.0346420323325635,"Small Truck"
"Injury/Unknown Severity",0.0966057441253264,"Heavy Truck"
"Killed",0.0234986945169713,"Heavy Truck"
"Not injured",0.621409921671018,"Heavy Truck"
"Possible Injury",0.0600522193211488,"Heavy Truck"
"Suspected Minor injury",0.159268929503916,"Heavy Truck"
"Suspected Serious injury",0.0261096605744125,"Heavy Truck"
"Unknown if injured",0.0130548302872063,"Heavy Truck"
"Injury/Unknown Severity",0.105861244019139,"Suv"
"Killed",0.00269138755980861,"Suv"
"Not injured",0.558313397129187,"Suv"
"Possible Injury",0.0720693779904306,"Suv"
"Suspected Minor injury",0.193480861244019,"Suv"
"Suspected Serious injury",0.0266148325358852,"Suv"
"Unknown if injured",0.0409688995215311,"Suv"
"Injury/Unknown Severity",0.130102040816327,"Van"
"Killed",0.00255102040816327,"Van"
"Not injured",0.497448979591837,"Van"
"Possible Injury",0.0739795918367347,"Van"
"Suspected Minor injury",0.224489795918367,"Van"
"Suspected Serious injury",0.0229591836734694,"Van"
"Unknown if injured",0.048469387755102,"Van"
"Injury/Unknown Severity",0.319148936170213,"Bicycle"
"Killed",0.0212765957446809,"Bicycle"
"Possible Injury",0.0851063829787234,"Bicycle"
"Suspected Minor injury",0.51063829787234,"Bicycle"
"Suspected Serious injury",0.0638297872340425,"Bicycle"
